Team,MP,W,D,L,GF,GA,HomeW,HomeD,HomeL,AwayW,AwayD,AwayL,Form6
Dundee United,7,2,2,3,9,11,0,2,1,2,0,2,LLWLDW
Rangers,7,5,1,1,8,4,2,0,1,3,1,0,LWWWWW
Falkirk,7,1,3,3,6,9,1,0,2,0,3,1,DLLDWD
St. Mirren,7,3,1,3,8,9,1,1,2,2,0,1,WDWLLL
Aberdeen,7,2,2,3,7,8,1,1,1,1,1,2,LLLDWD
Hearts,7,4,1,2,14,8,3,0,0,1,1,2,WWWWLD
St. Johnstone,7,2,2,3,9,10,2,1,1,0,1,2,LLDWLD
Kilmarnock,7,1,2,4,6,15,0,1,3,1,1,1,LLLDWD
Hibernian,7,2,1,4,8,11,0,1,3,2,0,1,WWLLLD
Motherwell,7,2,2,3,9,11,1,1,1,1,1,2,DDWLLL
Celtic,7,6,0,1,14,4,3,0,1,3,0,0,WWWWWL
Dundee,7,3,1,3,9,7,2,1,1,1,0,2,WWLDLW
